country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Zero vegetable or fruit consumption (6-23months),2015,57.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Zero vegetable or fruit consumption (6-23months),2022,62.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Zero vegetable or fruit consumption (6-23months),2015,59.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Zero vegetable or fruit consumption (6-23months),2022,59.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Zero vegetable or fruit consumption (6-23months),2015,58.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Zero vegetable or fruit consumption (6-23months),2022,61,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Zero vegetable or fruit consumption (6-23months),2009,19.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Zero vegetable or fruit consumption (6-23months),2017,23.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Zero vegetable or fruit consumption (6-23months),2009,27.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Zero vegetable or fruit consumption (6-23months),2017,28.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Zero vegetable or fruit consumption (6-23months),2009,24.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Zero vegetable or fruit consumption (6-23months),2017,25.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Algeria,DZ,DZA,12,Zero vegetable or fruit consumption (6-23months),2019,27.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
